,2B,3B,HR,H,PA,BB,HBP,SF,G,AB,R,TB,RBI,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,SAC,XBH,GDP,GO,AO,GOAO,NP,score,result
0,56,20,38,192,637,115,10,8,155,637,134,402,121,85,48,8,0.301,0.404,0.631,1.035,16,5,114,9,55,190,0.289,2321,5.662952063164776,0
988,14,20,39,182,388,79,0,4,118,388,80,353,108,140,35,5,0.469,0.554,0.91,1.464,24,6,73,17,35,53,0.66,547,4.399122509981638,0
990,54,11,8,226,478,118,2,11,149,478,57,326,80,109,41,2,0.473,0.567,0.682,1.249,14,7,73,27,43,78,0.551,2435,4.397821267551347,0
992,53,10,10,258,604,60,8,2,107,604,139,361,102,141,16,7,0.427,0.477,0.598,1.075,9,6,73,4,127,204,0.623,2896,4.397351465480331,0
994,35,10,42,136,602,114,23,3,106,602,86,317,97,108,13,6,0.226,0.348,0.527,0.875,6,13,87,8,146,197,0.741,3205,4.396648124373326,0
996,49,19,52,136,416,33,31,9,99,416,149,379,67,16,4,3,0.327,0.369,0.911,1.28,23,5,120,30,66,60,1.1,3117,4.396133717325122,0
997,55,3,40,199,300,78,0,14,145,300,142,380,76,99,43,0,0.663,0.707,1.267,1.974,1,11,98,13,53,212,0.25,466,4.3958537423264845,0
998,55,20,26,209,677,75,1,12,72,677,88,382,49,53,13,1,0.309,0.372,0.564,0.936,1,4,101,20,153,181,0.845,2286,4.39581579436442,0
999,28,5,59,113,251,107,23,10,140,251,112,328,108,147,4,8,0.45,0.598,1.307,1.905,28,13,92,26,104,158,0.658,2206,4.39579586009873,0
1000,54,4,43,247,558,55,20,13,157,558,28,438,92,41,23,7,0.443,0.482,0.785,1.267,27,7,101,13,1,217,0.005,2130,4.395431578875137,0
1002,14,12,31,256,676,117,5,14,59,676,128,387,55,30,43,10,0.379,0.462,0.572,1.034,8,1,57,2,33,88,0.375,2053,4.395069306754427,0
1003,27,19,27,232,547,105,33,0,57,547,26,378,99,138,41,3,0.424,0.517,0.691,1.208,24,9,73,15,183,192,0.953,2340,4.394786082061881,0
1007,58,0,29,217,377,88,4,13,79,377,146,362,118,2,10,6,0.576,0.638,0.96,1.598,23,0,87,29,128,135,0.948,2016,4.3933852706095795,0
1008,12,14,20,256,657,90,12,1,134,657,42,356,124,52,27,0,0.39,0.463,0.542,1.005,22,1,46,13,32,113,0.283,1356,4.393322379999722,0
1018,24,19,55,170,734,62,6,8,64,734,8,397,121,38,38,6,0.232,0.289,0.541,0.83,26,3,98,6,45,44,1.023,2671,4.389089896047681,0
1022,34,15,20,175,388,116,28,11,135,388,133,299,64,153,9,5,0.451,0.565,0.771,1.336,21,11,69,28,60,140,0.429,2801,4.387269175408257,0
1023,59,8,40,229,334,68,23,15,90,334,135,424,52,92,38,5,0.686,0.712,1.269,1.981,13,2,107,16,3,6,0.5,2415,4.387231446769448,0
1024,35,0,50,221,386,85,0,6,115,386,109,406,109,44,26,3,0.573,0.642,1.052,1.694,21,5,85,3,42,64,0.656,2149,4.387101167454656,0
1031,42,5,52,159,443,66,22,13,136,443,74,367,125,75,2,2,0.359,0.431,0.828,1.259,26,12,99,8,38,200,0.19,2999,4.385731029402654,0
1032,50,19,41,153,457,9,6,15,141,457,115,364,106,76,38,0,0.335,0.337,0.796,1.133,6,14,110,12,71,147,0.483,1254,4.385687071437339,0
1033,57,18,19,168,568,94,1,15,136,568,20,318,91,116,48,1,0.296,0.387,0.56,0.947,24,6,94,22,135,183,0.738,67,4.3855757163321565,0
1035,54,13,59,190,358,57,0,1,154,358,39,447,52,119,39,0,0.531,0.594,1.249,1.843,14,15,126,6,8,186,0.043,2486,4.385371021482593,0
1037,57,7,50,121,724,113,40,10,53,724,78,342,80,95,4,9,0.167,0.276,0.472,0.748,29,4,114,13,91,194,0.469,535,4.383494014986329,0
1042,0,14,43,254,722,30,22,3,102,722,147,411,109,112,41,6,0.352,0.376,0.569,0.945,3,12,57,5,116,140,0.829,2142,4.382505144688965,0
1048,16,9,48,226,538,112,39,12,146,538,99,404,25,37,41,5,0.42,0.511,0.751,1.262,8,13,73,11,15,101,0.149,1038,4.380796149870582,0
1052,30,19,36,257,379,97,26,7,150,379,4,433,33,135,11,5,0.678,0.733,1.142,1.875,20,3,85,4,138,214,0.645,1288,4.380037706238614,0
1054,53,9,52,188,670,103,34,12,162,670,2,415,23,116,11,2,0.281,0.371,0.619,0.99,13,13,114,19,17,200,0.085,2258,4.3795339008726115,0
1056,53,20,35,244,735,45,31,0,110,735,91,442,13,122,40,9,0.332,0.371,0.601,0.972,27,8,108,11,166,149,1.114,1747,4.379027402976889,0
1065,7,10,26,181,657,100,27,9,118,657,136,286,130,74,37,2,0.275,0.367,0.435,0.802,9,9,43,18,54,119,0.454,1722,4.376672428142752,0
1069,19,19,59,241,489,0,29,5,83,489,95,475,98,69,49,5,0.493,0.488,0.971,1.459,5,8,97,27,21,198,0.106,748,4.374118301233532,0
984,18,1,50,248,514,109,10,1,116,514,73,418,98,51,33,4,0.482,0.572,0.813,1.385,24,5,69,26,39,78,0.5,414,4.401080459935123,0
1070,23,20,43,221,491,84,1,7,134,491,93,413,19,26,34,10,0.45,0.524,0.841,1.365,17,15,86,19,47,216,0.218,1278,4.373141808981066,0
976,12,20,59,108,377,63,31,1,77,377,117,337,129,134,30,7,0.286,0.388,0.894,1.282,3,13,91,7,37,147,0.252,2872,4.405022250594967,0
969,43,16,41,141,434,99,0,1,67,434,37,339,129,125,48,5,0.325,0.449,0.781,1.23,20,4,100,22,37,114,0.325,2962,4.407503160018556,0
900,53,18,50,236,704,53,12,11,103,704,10,475,38,130,46,8,0.335,0.376,0.675,1.051,3,8,121,11,19,182,0.104,1830,4.436737972802498,0
901,53,17,54,153,704,51,1,14,91,704,112,402,47,36,19,5,0.217,0.265,0.571,0.836,20,3,124,2,76,81,0.938,2001,4.436324336958312,0
902,46,11,22,247,323,108,35,6,83,323,13,381,124,104,5,1,0.765,0.812,1.18,1.992,24,15,79,19,128,170,0.753,2546,4.436181271025211,0
905,59,1,35,182,398,119,13,11,68,398,81,348,127,97,28,1,0.457,0.57,0.874,1.444,4,14,95,17,78,68,1.147,2173,4.434488837849199,0
906,34,13,10,261,625,120,8,10,102,625,53,351,92,50,7,8,0.418,0.505,0.562,1.067,30,10,57,21,148,189,0.783,1943,4.434283180647917,0
